FileID,Category
0_m2_b_ah.wav,voiced
1_m2_d_eh.wav,voiced
2_m1_g_ow.wav,voiced
3_m1_g_ow.wav,voiced
4_f1_g_ah.wav,voiced
5_m2_g_uw.wav,voiced
6_m2_b_uw.wav,voiced
7_m2_g_ow.wav,voiced
8_m1_d_eh.wav,voiced
9_m2_d_eh.wav,voiced
10_m1_b_aa.wav,voiced
11_m2_d_uw.wav,voiced
12_f1_d_uw.wav,voiced
13_m1_b_ow.wav,voiced
14_m1_b_ow.wav,voiced
15_f1_b_eh.wav,voiced
16_m2_g_iy.wav,voiced
17_f1_b_ah.wav,voiced
18_m2_d_ah.wav,voiced
19_m1_g_eh.wav,voiced
20_m1_d_iy.wav,voiced
21_m1_b_iy.wav,voiced
22_m1_b_aa.wav,voiced
23_m1_b_iy.wav,voiced
24_m2_g_ah.wav,voiced
25_m2_b_iy.wav,voiced
26_m1_g_aa.wav,voiced
27_f1_g_eh.wav,voiced
28_m1_d_ow.wav,voiced
29_m2_g_ow.wav,voiced
30_f1_g_aa.wav,voiced
31_m1_b_ah.wav,voiced
32_f1_b_iy.wav,voiced
33_m2_b_aa.wav,voiced
34_m2_b_ow.wav,voiced
35_m2_g_ow.wav,voiced
36_m2_g_iy.wav,voiced
37_m1_g_iy.wav,voiced
38_f1_d_aa.wav,voiced
39_m2_b_eh.wav,voiced
40_m2_b_eh.wav,voiced
41_f1_d_eh.wav,voiced
42_m1_d_iy.wav,voiced
43_m2_b_aa.wav,voiced
44_m2_b_eh.wav,voiced
45_m2_d_uw.wav,voiced
46_m2_g_eh.wav,voiced
47_m1_g_iy.wav,voiced
48_m1_b_uw.wav,voiced
49_m1_d_aa.wav,voiced
50_m2_p_eh.wav,voiceless
51_m2_k_uw.wav,voiceless
52_f1_t_eh.wav,voiceless
53_m2_t_ow.wav,voiceless
54_m1_p_uw.wav,voiceless
55_f1_k_uw.wav,voiceless
56_m2_p_aa.wav,voiceless
57_f1_t_uw.wav,voiceless
58_m2_p_iy.wav,voiceless
59_m1_t_eh.wav,voiceless
60_m2_k_ah.wav,voiceless
61_m1_t_aa.wav,voiceless
62_m2_p_ah.wav,voiceless
63_m1_t_iy.wav,voiceless
64_m1_p_aa.wav,voiceless
65_m1_p_aa.wav,voiceless
66_m2_t_ow.wav,voiceless
67_m2_k_iy.wav,voiceless
68_f1_t_uw.wav,voiceless
69_m1_p_uw.wav,voiceless
70_m1_t_aa.wav,voiceless
71_m1_k_eh.wav,voiceless
72_m2_t_aa.wav,voiceless
73_f1_k_ah.wav,voiceless
74_m2_t_uw.wav,voiceless
75_m2_p_aa.wav,voiceless
76_m1_k_iy.wav,voiceless
77_m2_k_ah.wav,voiceless
78_f1_k_aa.wav,voiceless
79_f1_k_ah.wav,voiceless
80_m1_t_eh.wav,voiceless
81_m1_p_uw.wav,voiceless
82_m1_t_ah.wav,voiceless
83_f1_t_eh.wav,voiceless
84_f1_k_ow.wav,voiceless
85_m1_t_ow.wav,voiceless
86_m2_t_eh.wav,voiceless
87_f1_t_ow.wav,voiceless
88_f1_p_ah.wav,voiceless
89_m1_p_ah.wav,voiceless
90_f1_p_iy.wav,voiceless
91_m1_k_ow.wav,voiceless
92_f1_k_eh.wav,voiceless
93_m2_p_ah.wav,voiceless
94_f1_k_eh.wav,voiceless
95_f1_p_iy.wav,voiceless
96_f1_t_ow.wav,voiceless
97_m1_k_aa.wav,voiceless
98_f1_k_ah.wav,voiceless
99_m1_k_uw.wav,voiceless
